Submission Date,Addresses,Enter the date of your purchase (just the 1st date of purchase is ok),Enter the total # Bird Dog token purchased,,$ @ 0.00071,$ @0.00125,$ @ 0.0036,MintAmount,
6-Jun-24,0x05FD90A1b4A6CB7140DecAB793001A8dd1104A4b,5-Jun-24,291k,0,,,,0,
6-Jun-24,0xe11702851531749d9ebc0a5f2b8e53ce2b653a92,6-Jun-24,157438,157k,,,,already done,
6-Jun-24,0xE11702851531749d9EbC0A5F2B8E53CE2B653A92,6-Jun-24,157438,157k,,,,already done,
5-Jun-24,0x9d773b7CEF6609a1F7F54Bb21930ACd6A82A1bdb,6-Jun-24,164521.0342,0,,,,0,
5-Jun-24,0x2a189F4220dF17D652F2f80Fc4CC28fb205269f1,2-Jun-24,"125,860.51",126k,,,,1,
5-Jun-24,0x54d5247b1db1effe8586464284144c40a7fd388b,26-May-24,134632,100k,,,,1,
5-Jun-24,0x076cD5098Df6c5927F7499cf6572149107E50A9B,5-Jun-24,"59,840",0,,,,0,
4-Jun-24,0xB43960f70feeF40e81071844baBfA710FE059Fc9,22-Apr-24,18555058,186k,,,,2,
4-Jun-24,0xce3A72F1ea055611c3e5751c9C743B71206EaCF5,4-Jun-24,42352.308,43.2k,,,,1,
4-Jun-24,0xcc5BC96395C0245749E3eab3d57609756C7acb29,5-Jun-24,"192,191.56",0,,,,0,
4-Jun-24,0x4c663bcC6c51F90a27B7D8916Bfc55a48b282275,1-May-24,"529,616",0,,,,0,
3-Jun-24,0x55B554EFaDdB6a229A3785cc535779E54be5308c,1-Jun-24,"600,000",0,,,,0,
2-Jun-24,0x6e0F18921351A26009D53c5d6d4dcD0bc16823a0,2-Jun-24,663719,0,,,,0,
2-Jun-24,0x7386b366814Cd7c404e5020223f24862f307a2Bd,1-Jun-24,1294041,306k,,,,5,
2-Jun-24,0x7386b366814Cd7c404e5020223f24862f307a2Bd,,2373675,237k,,,,already done,
2-Jun-24,0x5028a196A984005288b78DB95e15a1Fd10801985,2-Jun-24,691028.012546963107315895,0,,,,0,
1-Jun-24,0x83Ef9c027780d6DFC3cAC90c5A6Bbee947029aeE,30-May-24,$965 aprox ,0,,,,0,
31-May-24,0x72099133F9310C47b3543d6a9c3fef25Dd7C71e3,31-May-24,193067.456,125k,,,,1,
23-May-24,0xAa2065cE8651e0D7423A4faC952205cda6de738d,22-May-24,1780438.987,1k,,,,0,
23-May-24,,22-May-26,1780438.987,100k,,,,0,
22-May-24,3MoZPH9qy9SmAGXsYAGpRAQTo65ymywhpRQahsx4Ynsj,6-May-24,"2,373,674.76",solana,,,,0,
21-May-24,0x10c3c11e96449990fb9b482c127e547c0f1ceeb3,9-May-24,2000000,0,,,,0,
21-May-24,0x1Ae688b101c97e0E9920c89E5a7F503E1669A99c,21-May-24,"2,716,741",0,,,,0,
19-May-24,0x6d03E277a5f2632A9715fb89E08Ac4E490f52e7e,9-May-24,5000000,0,,,,0,
15-May-24,0x0f23D4EE0b5459401470e9FFBEA69E0C6E6aFD94,15-May-24,785896,6mm,,,,5,
14-May-24,0x1468eb2305868A4fFcF7B2d88888dAfeF6a36ca8,14-May-24,"1,168,060.77",2.5mm,,,,5,
12-May-24,0x6d03E277a5f2632A9715fb89E08Ac4E490f52e7e,9-May-20,"3,000,000",0,,,,0,
11-May-24,0xA05e2740ab615570777586aab2c7B0C388Ed2ffe,5-Apr-24,224272.175,297k,59.4,371,1069,3,
9-May-24,0x6Ad917Dd52230d109eA63f40A396AC4DaA4845e2,9-May-24,"592,952.00",0,,,,0,
9-May-24,0x3b4FA26e5d4a71ED4ca55965417beA486831c622,8-May-24,"878,590.26",7.2mm,,,,5,
TA,0x23a3e11A7b66Ed7019144dB4557E20278E63b7d8,,,,,,,5,pls aridrop #37
JOE,0xa7470329c95A45a3EBBF58b2368ba996281bb0eA,,,,,,,5,"pls airdrop #97, #1628, #1181, #1718, #2999"
,0x030f2008c96EB340Ce71C89D305F5784B12ffE27,," 110,697 ",,,,,5,
,0x3ad1cC444F5d15A3b1e14cB80A60CF8f3CCBDf1A,," 181,372 ",,,,,5,
,0x3AC669aDDfDa2e2f2DF649f9a2cefA5706CAD211,," 168,763 ",,,,,5,
,0x334ab7B9045C8846C6542a6514bAA6853b37EeF5,," 165,766 ",,,,,5,
,0xe6176710DedBd1d886d75a8C851fc3772A5666Ce,," 181,247 ",,,,,5,
,0x59598A066DD9e4f55aCfad7B3776Ccc55532c2CA,," 151,760 ",,,,,5,
,0x55d756052DC56bA9441EA038a9491986A978EB5e,," 153,819 ",,,,,5,
,0x0e7979e143b672630d8E4De988c64e7C05301C45,," 149,953 ",,,,,5,
,0x8F604Ea179c2ACc5a10879278eAa11Cd0dD41488,," 187,315 ",,,,,5,
,0x61e03479b6eBe1D2D7A3A52b033fD0562c4fC477,," 168,924 ",,,,,5,
,0x98BC4BeD6bd34B560B83276c95C720A0CBb7547C,," 154,709 ",,,,,5,
,0x4c7B5952D0B7F581E93d15fa5b869f5b4F2F606B,," 153,804 ",,,,,5,
,0x148DE3b05F1eCaeFdcCAa3BE076Fa7b6faCF2B09,," 152,984 ",,,,,5,
,0x262cE3Fb9BDff35a26b40934087A198b8d91F00A,," 152,094 ",,,,,5,
,0x8e28dB9931638976AB00a677746DFc3669a08Dc3,," 151,241 ",,,,,5,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,TOTAL:,293,
,,,,,,,,  ,
